VSA_EState8,BalabanJ,VSA_EState4,BCUT2D_CHGHI,FpDensityMorgan1,NHOHCount,VSA_EState5,BCUT2D_MRLOW,MolLogP,EState_VSA5,EState_VSA2,qed,AvgIpc,MinAbsEStateIndex,VSA_EState3,PEOE_VSA7,BCUT2D_MWLOW,BCUT2D_LOGPLOW,VSA_EState7,BCUT2D_MRHI,PEOE_VSA6,NumAliphaticRings,MolWt,MaxAbsEStateIndex,BCUT2D_MWHI,EState_VSA4,VSA_EState2,EState_VSA6,SlogP_VSA5,RingCount,"IC50, mM"
-0.10258996126795661,0.06418598809367147,0.030317765050007665,-1.0420577203079193,-0.8414489751079235,-0.5,0.48565468445012133,0.9168467692559855,0.943390926372123,-0.10302930807585624,0.4623076322750915,-0.9016856250263037,1.0045664986772578,-0.16722095635196252,-0.3088855275745677,0.9275546379946018,1.361438468220605,0.4424857979069242,-0.5269953095918509,2.425085959370356,0.2804800268774579,-1.0,0.8190125102945218,0.3611446229987499,0.9921185210304757,-0.3852432341178739,-0.05151476683227756,1.9095114058436857,-0.3960510305462906,0.5,-2.8381301036906574
0.7473730550760097,0.22776713202010293,0.06358544404977698,0.4016156426886871,0.9368068113697056,-0.5,1.1848293430453298,1.2046437620544712,-0.23883958300541158,0.5060620667903077,-0.904895717038954,-0.31586694198921095,-0.30706780643061476,0.7902897802792432,-0.3088855275745677,-0.4298757115437559,-0.04641185228244561,0.3558852562068497,0.8710321575518754,-0.0001526171049886432,0.15750310780775173,0.0,-0.5597014034650983,-1.6005370539489587,-0.005010659596547872,-0.3170042471540334,-0.39008348115910935,-0.31884287492195995,0.031853148459816065,-0.5,-2.6319791670703334
0.4580643684342991,1.025874970614284,1.3294613041243064,0.42050412473734855,0.3500233283173923,0.5,0.09228022883392878,1.0347425052860035,-0.608613529319175,0.2678205222742453,-0.904895717038954,-0.22715992684607783,-0.990357564949622,1.2635719286757996,-0.3088855275745677,-0.19860550598620774,-0.07384486137251822,-0.028777525503772848,0.04653324028549451,-1.0075004090723934,-0.07456996182265475,0.0,-1.1059189021905385,-1.399238699576172,-0.11117348838414681,-0.7091217564427085,-0.6415686200282589,-0.31884287492195995,0.031853148459816065,-0.5,-1.4166028339260364
0.6763202934472938,-0.30729340854464293,-0.4627543690576972,1.0401349111265255,-0.04973317318422971,0.0,-0.9272968677419636,-0.4275036674487955,0.3851509244348661,-0.30317986534321484,3.2568584335528983,-0.6957278919177979,0.2814859458276341,-0.27695700653944466,0.5351501298101697,1.1725370149237775,-1.260064008640555,-1.2115427853194023,0.6188540631933036,0.0506752727079049,0.6337476498125669,2.0,0.5803944570716334,0.16828659627786957,0.0021817776411027236,1.244470420591678,1.3522897820087518,-0.31884287492195995,0.935865615908086,1.5,-1.4913574964207752
-0.7420388163335571,1.0799264470332584,-0.6455709260537957,-0.7325452023690502,0.1655579659353708,0.0,-0.34829417371393345,-0.18979600411744324,-0.5590681793415746,-0.5356410445484908,0.6127962874107473,0.9810389771098496,0.02049043252058016,-0.24742685721536903,0.7091942300319197,-1.2184007556362613,2.019694331753589,1.536862539387027,-1.3799565226317205,-0.7097388375029604,-0.17539323294486542,-1.0,-0.2945861474533536,0.11473288409811008,0.18101026221015643,-0.41972503107501297,-0.6415686200282589,1.2728387541963584,-1.15363990881752,-0.5,-1.6823369078188817
3.851373375765185,-1.5645584425799834,-0.4941470928639414,-0.0683467410917505,-2.7653916808011942,-0.5,-0.3198655983694929,-4.345471442009354,2.859173517695628,10.740042284812361,-0.904895717038954,-1.9220979708511718,0.4642159033627642,4.974360672095652,-0.3088855275745677,0.18301874475691193,1.0310234832148772,-1.7118156204641146,5.016647768588909,-1.5713005321834876,3.6810301165781665,2.0,2.16706196491934,-2.2849929218920138,-0.06449666372253689,-1.0636826346640627,-0.6415686200282589,-0.31884287492195995,4.226081503175103,1.5,-0.5787025727263306
-0.0123229672390285,-0.49374747036242606,-0.5580033390148359,0.23242510495542593,0.1655579659353708,1.0,-1.2121569315164082,-0.11180728289954633,0.3246697582060999,0.5919514693286261,2.707829503000547,-1.3557354179362036,1.0267349815820233,-0.48071401089831556,1.5321781313418983,-0.3312777951535972,-0.030171666058649942,0.05866467252580983,-0.42947062524514706,2.510343168157048,-0.42772346007792594,0.0,1.5082876225325126,0.34367185200147043,0.9878876796961473,-0.028466722020294603,1.8316293172324776,1.0542481037639655,-0.13044771564580315,1.0,-1.3117703448182272
-0.09004122873990375,0.13420336263827035,-0.48088492272337424,-0.03938714053548212,0.7899022693822109,0.5,-0.030818193541847536,-0.4942557755928831,-0.595149592570619,-0.5356410445484908,0.5358604146584451,0.4292384707676042,0.11103369760983121,-0.20998026666365618,1.445264868590923,-0.11473380526602045,-0.02531841174535101,-0.7207446371653031,-0.0416002758911961,-0.9246292077169717,-0.6506017214435409,0.0,-0.34850130525152795,-0.3405999424039875,-0.001656057786749861,-0.3450877538131783,-0.6415686200282589,0.0098204376612795,-0.019252023152481264,0.0,-1.6570446482040102
-0.09199202817040991,0.2761227247850036,-0.3016789909141841,-0.053285831304240236,-0.11659763273772313,0.5,0.33583003856082616,-0.47811907737312764,-0.38553837585209005,-0.5356410445484908,0.05067862046114041,0.5523761862664635,-0.2892040258974777,0.058717522320162044,1.5009063997006937,0.1228770598621582,-0.040622713692454925,-0.7226609188115327,-0.3661523481000608,-0.4866383458442092,-0.6506017214435409,0.0,0.33433536183004603,-0.25436224855047646,-0.0011843499213389209,-0.3964555694422385,-0.6415686200282589,0.8004300611358149,-0.026045905336934225,0.0,-2.9154916417398242
-0.6799540240661465,2.5514572020342143,0.5751777202826166,-1.8978009542067786,1.6980394380321637,1.0,-1.5257347193943376,0.8708949548424468,-1.9354893390320955,-0.5356410445484908,-0.904895717038954,-0.21544325766799277,-1.4238850199388162,1.7517932031513939,0.4243798578758103,-1.736580784517068,2.3390273513398188,1.242090947657222,-0.5108470247629119,-0.020542827677162225,-0.8887735448920545,-1.0,-1.079762718742594,0.01625816919251235,0.1639099643507546,-1.0636826346640627,0.2288306824555353,-0.31884287492195995,-0.9881206258488646,-1.0,-1.2252493831695437
