VSA_EState8,BalabanJ,BCUT2D_CHGLO,FractionCSP3,qed,MaxAbsEStateIndex,BCUT2D_MRLOW,BCUT2D_LOGPHI,Ipc,BCUT2D_MWLOW,VSA_EState4,BCUT2D_CHGHI,BCUT2D_MRHI,EState_VSA4,SMR_VSA7,AvgIpc,VSA_EState5,RingCount,MinAbsEStateIndex,SlogP_VSA5,BCUT2D_LOGPLOW,MolLogP,VSA_EState7,SPS,VSA_EState2,FpDensityMorgan1,fr_Imine,EState_VSA5,PEOE_VSA7,MinEStateIndex,SI
-0.10258996126795661,0.06418598809367147,0.39916156618931514,-0.7580445544554456,-0.9016856250263037,0.3611446229987499,0.9168467692559855,-0.5050803132813586,2.6873285391787527,1.361438468220605,0.030317765050007665,-1.0420577203079193,2.425085959370356,-0.3852432341178739,1.1468007662157795,1.0045664986772578,0.48565468445012133,0.5,-0.16722095635196252,-0.3960510305462906,0.4424857979069242,0.943390926372123,-0.5269953095918509,-0.8666577425182851,-0.05151476683227756,-0.8414489751079235,0.0,-0.10302930807585624,0.9275546379946018,-2.487309927892437,-0.0
0.7473730550760097,0.22776713202010293,0.03421381814291316,0.41150990099009915,-0.31586694198921095,-1.6005370539489587,1.2046437620544712,0.5806268946515999,-0.019891752628372346,-0.04641185228244561,0.06358544404977698,0.4016156426886871,-0.0001526171049886432,-0.3170042471540334,-0.6586090829611874,-0.30706780643061476,1.1848293430453298,-0.5,0.7902897802792432,0.031853148459816065,0.3558852562068497,-0.23883958300541158,0.8710321575518754,0.3158294144215952,-0.39008348115910935,0.9368068113697056,1.0,0.5060620667903077,-0.4298757115437559,0.49141917619172987,-0.3525683861793086
0.4580643684342991,1.025874970614284,-0.07969035526153141,0.7580445544554456,-0.22715992684607783,-1.399238699576172,1.0347425052860035,0.609800043592005,-0.021345262006137906,-0.07384486137251822,1.3294613041243064,0.42050412473734855,-1.0075004090723934,-0.7091217564427085,-0.6586090829611874,-0.990357564949622,0.09228022883392878,-0.5,1.2635719286757996,0.031853148459816065,-0.028777525503772848,-0.608613529319175,0.04653324028549451,1.1268811078262295,-0.6415686200282589,0.3500233283173923,0.0,0.2678205222742453,-0.19860550598620774,0.5743830493068952,-1.1972805581256194
0.6763202934472938,-0.30729340854464293,-1.3340832132908806,0.39707095709570955,-0.6957278919177979,0.16828659627786957,-0.4275036674487955,0.9898174051377145,0.6766582093843015,-1.260064008640555,-0.4627543690576972,1.0401349111265255,0.0506752727079049,1.244470420591678,-0.43870828070519974,0.2814859458276341,-0.9272968677419636,1.5,-0.27695700653944466,0.935865615908086,-1.2115427853194023,0.3851509244348661,0.6188540631933036,0.9875780690278165,1.3522897820087518,-0.04973317318422971,0.0,-0.30317986534321484,1.1725370149237775,-0.22725694927167125,-0.18988464455935553
-0.7420388163335571,1.0799264470332584,1.1471464859994156,-0.541460396039604,0.9810389771098496,0.11473288409811008,-0.18979600411744324,-0.6747464451093469,-0.016951863460089964,2.019694331753589,-0.6455709260537957,-0.7325452023690502,-0.7097388375029604,-0.41972503107501297,0.13596506173778744,0.02049043252058016,-0.34829417371393345,-0.5,-0.24742685721536903,-1.15363990881752,1.536862539387027,-0.5590681793415746,-1.3799565226317205,-0.8590889911092093,-0.6415686200282589,0.1655579659353708,0.0,-0.5356410445484908,-1.2184007556362613,-2.9040396336144285,-0.7830958330007061
3.851373375765185,-1.5645584425799834,-0.8499503848740534,0.7580445544554456,-1.9220979708511718,-2.2849929218920138,-4.345471442009354,-0.7281306319524314,2378.179308338082,1.0310234832148772,-0.4941470928639414,-0.0683467410917505,-1.5713005321834876,-1.0636826346640627,-0.6586090829611874,0.4642159033627642,-0.3198655983694929,1.5,4.974360672095652,4.226081503175103,-1.7118156204641146,2.859173517695628,5.016647768588909,0.05247854561878961,-0.6415686200282589,-2.7653916808011942,0.0,10.740042284812361,0.18301874475691193,1.2248648126890114,-0.6065604925546388
-0.0123229672390285,-0.49374747036242606,0.30272366364768893,-0.5254171250458382,-1.3557354179362036,0.34367185200147043,-0.11180728289954633,0.3478154624042295,60.47282211748669,-0.030171666058649942,-0.5580033390148359,0.23242510495542593,2.510343168157048,-0.028466722020294603,0.4373325862013214,1.0267349815820233,-1.2121569315164082,1.0,-0.48071401089831556,-0.13044771564580315,0.05866467252580983,0.3246697582060999,-0.42947062524514706,-0.5483273308610278,1.8316293172324776,0.1655579659353708,0.0,0.5919514693286261,-0.3312777951535972,-0.8650803673625892,-0.2808266095756942
-0.09004122873990375,0.13420336263827035,-0.5445464272915875,0.06497524752475245,0.4292384707676042,-0.3405999424039875,-0.4942557755928831,-0.11307977207835139,-0.015735653505316343,-0.02531841174535101,-0.48088492272337424,-0.03938714053548212,-0.9246292077169717,-0.3450877538131783,0.017287833324247943,0.11103369760983121,-0.030818193541847536,0.0,-0.20998026666365618,-0.019252023152481264,-0.7207446371653031,-0.595149592570619,-0.0416002758911961,0.6135967883801643,-0.6415686200282589,0.7899022693822109,0.0,-0.5356410445484908,-0.11473380526602045,-0.3357316337152691,-1.3979400086720377
-0.09199202817040991,0.2761227247850036,-0.5717639035656754,0.06497524752475245,0.5523761862664635,-0.25436224855047646,-0.47811907737312764,-0.011745938451714927,0.09328570618901405,-0.040622713692454925,-0.3016789909141841,-0.053285831304240236,-0.4866383458442092,-0.3964555694422385,-0.10465696458510967,-0.2892040258974777,0.33583003856082616,0.0,0.058717522320162044,-0.026045905336934225,-0.7226609188115327,-0.38553837585209005,-0.3661523481000608,0.19876789312764936,-0.6415686200282589,-0.11659763273772313,0.0,-0.5356410445484908,0.1228770598621582,-0.39828678087404595,-0.0
-0.6799540240661465,2.5514572020342143,1.634620696430161,-0.9746287128712873,-0.21544325766799277,0.01625816919251235,0.8708949548424468,-1.6097509667070675,-0.02136289485214895,2.3390273513398188,0.5751777202826166,-1.8978009542067786,-0.020542827677162225,-1.0636826346640627,-0.3218718819490424,-1.4238850199388162,-1.5257347193943376,-1.0,1.7517932031513939,-0.9881206258488646,1.242090947657222,-1.9354893390320955,-0.5108470247629119,-0.9555283526320109,0.2288306824555353,1.6980394380321637,0.0,-0.5356410445484908,-1.736580784517068,-0.4448575523814584,-0.7782061028601175
