NHOHCount,BCUT2D_MWLOW,PEOE_VSA7,PEOE_VSA6,BCUT2D_MRLOW,SPS,Ipc,VSA_EState8,MolLogP,BalabanJ,MolWt,FpDensityMorgan1,SMR_VSA10,EState_VSA3,MinAbsEStateIndex,BCUT2D_LOGPHI,VSA_EState2,EState_VSA4,BCUT2D_MRHI,fr_allylic_oxid,BCUT2D_LOGPLOW,VSA_EState3,VSA_EState7,AvgIpc,BCUT2D_CHGLO,qed,TPSA,BCUT2D_CHGHI,VSA_EState4,BCUT2D_MWHI,"CC50, mM"
-0.5,1.361438468220605,0.9275546379946018,0.2804800268774579,0.9168467692559855,-0.8666577425182851,2.6873285391787527,-0.10258996126795661,0.943390926372123,0.06418598809367147,0.8190125102945218,-0.8414489751079235,0.603396573248321,1.0766881664727503,-0.16722095635196252,-0.5050803132813586,-0.05151476683227756,-0.3852432341178739,2.425085959370356,0.0,0.4424857979069242,-0.3088855275745677,-0.5269953095918509,1.0045664986772578,0.39916156618931514,-0.9016856250263037,0.6088646967340594,-1.0420577203079193,0.030317765050007665,0.9921185210304757,-2.8381301036906574
-0.5,-0.04641185228244561,-0.4298757115437559,0.15750310780775173,1.2046437620544712,0.3158294144215952,-0.019891752628372346,0.7473730550760097,-0.23883958300541158,0.22776713202010293,-0.5597014034650983,0.9368068113697056,-0.33761475421126924,0.7581942980016004,0.7902897802792432,0.5806268946515999,-0.39008348115910935,-0.3170042471540334,-0.0001526171049886432,0.0,0.3558852562068497,-0.3088855275745677,0.8710321575518754,-0.30706780643061476,0.03421381814291316,-0.31586694198921095,-0.5408242612752722,0.4016156426886871,0.06358544404977698,-0.005010659596547872,-2.984547553249642
0.5,-0.07384486137251822,-0.19860550598620774,-0.07456996182265475,1.0347425052860035,1.1268811078262295,-0.021345262006137906,0.4580643684342991,-0.608613529319175,1.025874970614284,-1.1059189021905385,0.3500233283173923,-0.6676552704718092,0.30260430539335204,1.2635719286757996,0.609800043592005,-0.6415686200282589,-0.7091217564427085,-1.0075004090723934,0.0,-0.028777525503772848,-0.3088855275745677,0.04653324028549451,-0.990357564949622,-0.07969035526153141,-0.22715992684607783,-0.4547045101088647,0.42050412473734855,1.3294613041243064,-0.11117348838414681,-2.6138833920516555
0.0,-1.260064008640555,1.1725370149237775,0.6337476498125669,-0.4275036674487955,0.9875780690278165,0.6766582093843015,0.6763202934472938,0.3851509244348661,-0.30729340854464293,0.5803944570716334,-0.04973317318422971,0.3671247977550155,-0.39323338182364553,-0.27695700653944466,0.9898174051377145,1.3522897820087518,1.244470420591678,0.0506752727079049,2.0,-1.2115427853194023,0.5351501298101697,0.6188540631933036,0.2814859458276341,-1.3340832132908806,-0.6957278919177979,0.6076982892690512,1.0401349111265255,-0.4627543690576972,0.0021817776411027236,-1.6812421409801308
0.0,2.019694331753589,-1.2184007556362613,-0.17539323294486542,-0.18979600411744324,-0.8590889911092093,-0.016951863460089964,-0.7420388163335571,-0.5590681793415746,1.0799264470332584,-0.2945861474533536,0.1655579659353708,-0.6676552704718092,-0.4078769438810006,-0.24742685721536903,-0.6747464451093469,-0.6415686200282589,-0.41972503107501297,-0.7097388375029604,0.0,1.536862539387027,0.7091942300319197,-1.3799565226317205,0.02049043252058016,1.1471464859994156,0.9810389771098496,-0.04140746500777597,-0.7325452023690502,-0.6455709260537957,0.18101026221015643,-2.4654327408195877
-0.5,1.0310234832148772,0.18301874475691193,3.6810301165781665,-4.345471442009354,0.05247854561878961,2378.179308338082,3.851373375765185,2.859173517695628,-1.5645584425799834,2.16706196491934,-2.7653916808011942,-0.6676552704718092,-0.76916306404136,4.974360672095652,-0.7281306319524314,-0.6415686200282589,-1.0636826346640627,-1.5713005321834876,0.0,-1.7118156204641146,-0.3088855275745677,5.016647768588909,0.4642159033627642,-0.8499503848740534,-1.9220979708511718,-0.9605365474339037,-0.0683467410917505,-0.4941470928639414,-0.06449666372253689,-1.1852630652809693
1.0,-0.030171666058649942,-0.3312777951535972,-0.42772346007792594,-0.11180728289954633,-0.5483273308610278,60.47282211748669,-0.0123229672390285,0.3246697582060999,-0.49374747036242606,1.5082876225325126,0.1655579659353708,1.652060106608532,0.27407100961352315,-0.48071401089831556,0.3478154624042295,1.8316293172324776,-0.028466722020294603,2.510343168157048,3.0,0.05866467252580983,1.5321781313418983,-0.42947062524514706,1.0267349815820233,0.30272366364768893,-1.3557354179362036,1.917379471228616,0.23242510495542593,-0.5580033390148359,0.9878876796961473,-1.5925969543939213
0.5,-0.02531841174535101,-0.11473380526602045,-0.6506017214435409,-0.4942557755928831,0.6135967883801643,-0.015735653505316343,-0.09004122873990375,-0.595149592570619,0.13420336263827035,-0.34850130525152795,0.7899022693822109,-0.6676552704718092,0.004628438939050594,-0.20998026666365618,-0.11307977207835139,-0.6415686200282589,-0.3450877538131783,-0.9246292077169717,1.0,-0.7207446371653031,1.445264868590923,-0.0416002758911961,0.11103369760983121,-0.5445464272915875,0.4292384707676042,0.260886469673406,-0.03938714053548212,-0.48088492272337424,-0.001656057786749861,-3.054984656876048
0.5,-0.040622713692454925,0.1228770598621582,-0.6506017214435409,-0.47811907737312764,0.19876789312764936,0.09328570618901405,-0.09199202817040991,-0.38553837585209005,0.2761227247850036,0.33433536183004603,-0.11659763273772313,-0.6676552704718092,1.1422885956354514,0.058717522320162044,-0.011745938451714927,-0.6415686200282589,-0.3964555694422385,-0.4866383458442092,1.0,-0.7226609188115327,1.5009063997006937,-0.3661523481000608,-0.2892040258974777,-0.5717639035656754,0.5523761862664635,0.543740279937792,-0.053285831304240236,-0.3016789909141841,-0.0011843499213389209,-2.9154916417398242
1.0,2.3390273513398188,-1.736580784517068,-0.8887735448920545,0.8708949548424468,-0.9555283526320109,-0.02136289485214895,-0.6799540240661465,-1.9354893390320955,2.5514572020342143,-1.079762718742594,1.6980394380321637,-0.3263184063812256,-0.37551412530221695,1.7517932031513939,-1.6097509667070675,0.2288306824555353,-1.0636826346640627,-0.020542827677162225,0.0,1.242090947657222,0.4243798578758103,-0.5108470247629119,-1.4238850199388162,1.634620696430161,-0.21544325766799277,0.7715785381026442,-1.8978009542067786,0.5751777202826166,0.1639099643507546,-2.003455486029661
2.0,1.4226816477777957,-1.736580784517068,-0.8887735448920545,0.17311089594973636,0.15123512141984172,-0.019608272252618048,-0.7494358327091094,-3.1131963531135303,0.658427139789489,-0.4856865657135752,1.1112559549798506,-0.3263184063812256,-0.76916306404136,0.37836866780363787,-0.8238681845711406,0.11789706378780493,-0.40409049305302325,-0.07127455417141798,0.0,0.33156539589464895,2.3501576225433394,-1.1670026006286238,0.10986618779048042,0.8949751608028217,-0.6412811908612064,1.8333981337480563,-0.3359543835425825,0.7866077027438979,0.0007515429259476414,-0.04199061474935056
-0.5,-0.7519201825089549,2.1487052895304655,1.4135867035756617,0.40204874606923086,0.2607858209992357,0.1489520242538798,1.525667734094051,1.3994987347289656,-0.3699288684025691,0.2603750871730697,-0.3447234359202203,-0.6676552704718092,0.29473145928521155,1.0749144488832278,0.33578165520185227,-0.49398173843228216,-0.7091217564427085,-0.6369941548595436,0.0,-0.6635622435244276,-0.3088855275745677,1.2381363409615047,-0.30359493568337803,-0.8795602152715943,-0.06414507344058872,-0.8975505443234837,0.0441653982345546,0.9950114610364899,-0.08989395299439308,-1.704345687500151
1.5,0.5629791900803932,-0.654392983459052,-0.34597115617912116,-0.1542637506363532,-0.16330736224028897,-0.017728597005589482,0.18006063809031914,-1.263890738700341,2.0506990810490495,-0.21185485534812112,1.024031383174778,0.01860828302771616,-0.76916306404136,-0.4116605836669013,-1.0184718534881216,0.5407461382192161,-0.29429828291214905,-0.08547026344739593,0.0,-0.8222721139119306,0.6860535869610936,-0.13067951814306483,-0.6914634658392834,-0.0345443756942961,0.11645925651954492,1.0155520995334373,-0.7447180894478385,1.1163316114163755,-0.0033216564549487363,-1.301017777246602
0.5,1.1718577640562364,-0.9593107411958579,-0.41318667026059513,0.8924030224120827,-0.8679880503515177,0.0007569590542532874,-0.6799540240661465,0.08879902168517152,1.220910685704935,0.06026493792595377,-0.07196432341940563,-0.0006957141618121197,0.0021712080081489026,-0.002385439162502739,-0.6856917419695371,-0.009345630732491225,-0.6377116847118373,0.18656211574340698,1.0,1.7930473644261489,1.3210420746673526,-0.5174591732137742,-0.45820560545354744,1.0297355396112413,-0.8171180943966541,0.3372861586314155,-1.3523166530858906,-0.6638174686347674,0.16554086074367866,-1.6352359966550634
0.0,1.2645192004619048,0.03450329201292808,0.7553132825867258,0.894126587714449,-0.6331939690010936,119.85829366208289,0.1837786011952424,0.05993389110193606,-1.087612917381463,1.4909501992405512,-1.0050876030274587,2.078201167460602,2.715682314091252,-0.17070632388444565,-1.1787602740732757,0.9607709136806027,1.171436122984431,0.44480013358140963,1.0,2.7884728859048613e-08,0.10423217204157216,0.2105828983536761,0.29194905111103625,0.222495296437998,-1.4484573252258048,1.0820373250388804,-1.439287680020194,0.8788414122434759,1.1985153416080447,-2.7495621057776374
0.5,-0.042422407556188445,-0.37382381970642437,-0.6506017214435409,-0.47908073369363674,0.19876789312764936,0.09366634665541557,-0.09312423631177166,-0.38553837585209005,0.316872043854875,0.33433536183004603,-0.2306605343289714,-0.6676552704718092,1.1422885956354514,0.09888303308716916,0.013281356568058726,-0.6415686200282589,-0.3964555694422385,-0.5178946247910875,1.0,-0.72392278748446,1.504814171650222,-0.3819597276985528,-0.28699813013165304,-0.5741811059538265,0.5523761862664635,0.543740279937792,-0.03599649153008444,-0.32013038706704644,-0.001759832318379814,-2.9154916417398242
0.5,0.3851787895192868,0.07316582759545716,2.6781280148438915,-0.25511974710005286,-0.6277677133655395,7065.41572040988,-0.32410692117738105,0.3729946362194426,-0.8348899704726492,2.123431950443069,-0.910078687285548,0.7120332083010136,1.2938401936880641,-0.4910279779550156,-0.34948676744331364,2.426308885674067,0.7644679468703195,0.02531246399646436,0.0,-1.3450573840342528,0.16982876220621046,-0.44743585334323455,1.8678150859382674,-0.5421317726830281,-1.2071743783970776,1.319401244167963,0.1628560327402903,-0.04516343148001861,-0.0002239061037261459,-0.908506584440448
0.0,-0.2124342368834123,-0.09120975942508588,0.6410655472010647,-0.6409888497949793,0.8008026078067796,-0.017014660345504737,0.019814524317424996,0.3094526037946028,-0.04068827527310337,-0.33415121138595444,-0.3027002616497629,-0.6676552704718092,-0.005484383019879826,-0.48886609502678985,0.06356288643610651,-0.6415686200282589,0.44495477118516175,-1.1128660299288136,0.0,-0.9071513260589344,0.6101949812521278,1.425721237161548,-0.4513795938658169,-0.7895326891540104,0.27263622187894304,-0.38783048211508553,0.09630561217440055,-0.6251051505307267,-0.002160563192687858,-2.484512310993586
0.0,1.2636341929245751,-0.4836767368678786,1.2309001572181855,0.8941200190943249,-0.6331939690010936,118.28486990629415,0.18307068943966157,0.05993389110193606,-1.079379884845165,1.4909501992405512,-0.8490015271657481,2.078201167460602,2.715682314091252,-0.08165967633858319,-1.1768556579820326,0.9620060636309573,1.171436122984431,0.4495111882636863,1.0,2.4232903154604922e-08,0.09879740205499472,0.20711518437631093,0.28558197023228243,0.22249527622170281,-1.4484573252258048,1.0820373250388804,-1.4390831997513631,0.8663064858779558,1.1985153419208665,-2.7495621057776374
0.0,-0.04640345557895496,-0.4298757115437559,-0.07456996182265475,1.2878403485361074,0.5971939927732607,-0.0210754760656725,0.571454088895817,-0.5572762165369107,0.7943768279978561,-0.8192103015122509,0.8122002802196009,-0.33761475421126924,0.33455156705663774,0.24110460790438737,0.5802172995720916,-0.4011452856620556,-0.7091217564427085,-0.00021505570059689576,0.0,0.3580978905576732,0.4276827406290137,0.010824755674929817,-0.5591245190375894,0.035365523155172045,0.2848494859433129,-0.32698289269051317,0.40100645712854116,0.04652823749863508,-0.019065018432249708,-3.408252195216658
1.5,-0.2819167900570537,0.32591518246523,0.380171292944694,0.41909114220643495,-0.0968085994265738,-0.010882627333840282,0.4413452780791819,-0.21307406375997437,0.5896988293088924,0.3102525759748454,0.44379836203668166,0.9105025367737302,0.7348080735784219,-0.44671990733346056,-0.11767608738779382,-0.6422200042104536,-0.29429828291214905,2.3806719074375025,0.0,-0.09278966111161578,1.268868042712281,-0.26194254541357564,-0.7986499622127401,-0.40560154325178965,0.44907084475321873,0.8361197511664077,-0.5002703097615155,-0.3367032170205993,1.1985153186850894,-0.9243350947696384
0.0,-0.0929721129143087,-0.3805767533486767,-0.36568477098825747,-1.3455845677820948,0.4775011291779583,-0.008786184734500364,-0.04108446151174918,-0.10245668414233974,-0.02593838477332328,-0.13697382847068265,0.8122002802196009,-0.32764728145784444,0.3805581211567656,-0.46512241117377723,-0.04070448582540994,-0.10583520783693628,0.09039389296380763,-0.9028726432688904,0.0,-0.5510355167149303,1.487000466738862,-0.12986992188481264,0.1057063331798675,-0.5526114093286381,0.11285510544383857,0.7062597200622087,-0.11564070448789092,-0.7064669930766876,0.006174882754304079,-2.008247166039649
0.0,0.09144468480953563,-0.9138952719710768,-0.8887735448920545,-0.9629841850947112,0.6837643029208068,-0.01861775191211812,-0.5897883451490594,-1.151626690559503,0.4493685556560341,-0.342294753246932,0.8592738586540822,-0.3263184063812256,0.46234061370978236,0.4428996014488029,0.32227192841888846,0.0575444858461675,-1.0636826346640627,-0.17247372441407913,0.0,-1.3842401285116122,0.5309273761543631,-1.378958203848898,0.06648825951937061,-0.6269686836974602,0.25697968244431485,0.0069984447900467844,1.0099555264092333,-1.5673602731309848,0.18103812679511236,-3.0534920597760435
0.5,-1.298721196026077,2.9203033496999633,1.4676648476911025,-0.47350279036605997,1.07801849798801,2.6161324510131405,2.0058127204883642,1.8486517901466264,-0.4312342814844789,0.9636729147093588,-0.818257300102078,-0.3227285810628676,-0.01730369960593072,-0.3760347829355839,1.0461752626446952,0.031073546686799746,2.0138547723435924,-0.21398550033177374,2.0,-1.2133375125266896,1.4792282302626332,1.4730483862871635,-0.15015552832672274,-1.4611543470708104,-0.7541909345332647,0.1578538102643858,0.857993077977776,-0.062390055834699025,-0.01163735177597108,-1.9999952454281205
0.5,-0.9627149768847042,0.6240800065597836,-0.34597115617912116,-0.03395237030745458,1.295025971093044,-0.0212153045054577,0.08465368849601852,-0.4196825319950111,0.3598496855278846,-0.9283296702172471,-0.4587863375114719,-0.6676552704718092,-0.4251806434869314,0.2848264491846292,0.5325971235638225,-0.6415686200282589,0.0,-0.9858019004932896,0.0,-1.284008895142474,-0.3088855275745677,0.5506520572559832,-1.341767198313882,-1.1896584413002562,-0.09144089901891256,-0.4547045101088647,0.38443380195847465,1.363878124143206,-0.10775393998685864,-1.832510907338143
-0.5,1.3066203275012414,-1.736580784517068,0.30019364168659385,-0.18799319551732827,-0.8540968359244995,-0.018100897095842155,-0.6799540240661465,-0.11848748653000891,1.6087018809256919,-0.3147472108880664,-0.14661418578805055,-0.3390188170681081,-0.05404811291328351,-0.15982337947455633,-0.3234713670366607,-0.5654808973090429,-1.0636826346640627,-0.20226513912864272,0.0,1.1586641197435426,-0.005223391047025516,-1.3672477638809952,-0.20151368740596937,0.773620817315797,0.6678997709109561,-0.5511275272161742,-0.5268863689332933,-0.39522558741289615,0.18101054409957382,-2.611201489109163
