BCUT2D_CHGLO,MaxAbsEStateIndex,VSA_EState4,BCUT2D_LOGPHI,BCUT2D_MWLOW,VSA_EState8,FractionCSP3,qed,EState_VSA4,BCUT2D_MRLOW,SPS,Ipc,MolLogP,MinEStateIndex,VSA_EState7,SlogP_VSA5,VSA_EState5,BCUT2D_CHGHI,BCUT2D_LOGPLOW,SMR_VSA7,MolWt,MinAbsEStateIndex,BCUT2D_MRHI,EState_VSA8,VSA_EState2,PEOE_VSA7,PEOE_VSA6,SMR_VSA5,BalabanJ,FpDensityMorgan1,SI
0.6741040557806988,0.15541653072239484,0.11152018427914417,-0.06248799333602805,0.7829390476530731,-0.35277249015274814,-0.6315520100004117,0.39169911973897464,-0.4013921663846548,0.07473809907525995,-0.3412013457635646,0.002258960491906543,-0.2740624767017073,-0.8447466112328207,-0.45546316503587825,-0.00473660703878948,-1.0522405702660742,0.3637302317685161,0.14529886657183677,0.5525987976401069,-0.23229415543147078,0.8336588511415782,0.3134573937693029,-0.6826736490416359,0.6199968985651946,-0.0800641222786512,0.1776529777289941,-0.5516319320649531,0.08148216743378849,-0.4615384615384623,0
-0.5419345212839882,0.7430178263816929,-0.5697240964484749,-0.16537036335117006,-0.05240756308469103,0.2338480478536091,0.550757141948209,0.39362272406409604,0.05244410049063393,-0.3161845538785934,0.8782093299298193,-0.018281829183321708,-0.1986132856184295,-0.5559227166174143,0.06827384524127887,0.2740581612487964,-0.30921899767984007,-0.032179452042758086,-0.7292918046363396,-0.4474012023598932,-0.4902137378117796,-0.35154576806035204,-1.4045279201137486,-0.4054823040929831,-0.6604952621163519,-0.26520589110699444,-0.05513890006497438,0.8023357704731525,0.6080429014913887,1.3031674208144801,0
-0.8264967351579553,-0.4379324051720671,-0.6479254231667252,0.003155062648442827,-0.25641232628168553,0.7348688667481759,0.7988960997645863,0.5460931912506231,1.4362437495731875,-0.5880451799908092,0.8310606547821805,-0.01830217047432942,0.060836501901141156,-0.07693316858263667,0.5277812589482611,0.9908336914071381,0.22452029434494683,0.046120300550894215,-0.8966226696028564,-0.6669091935091124,-0.5034478774057831,-0.192841526845583,-1.6790782330210399,0.14890038580432238,-0.6604952621163519,0.02557358699597942,0.2621268163910148,1.1478192288162143,0.6373917231044202,0.24434389140271562,0
0.5001228001275995,-1.9236328829910443,0.9971813716682034,0.004662663200945786,0.3829506245735746,-0.329175609141127,0.7988960997645863,-0.1599378323472364,0.005791366633533153,1.8801173261775035,0.9636663036349132,-0.01926277757768136,-0.8097119709734333,0.609341042513075,0.40515741791659804,-0.22810929418254555,0.9794479152206934,-0.49046937096209886,0.47502817847474066,-0.6669091935091124,-1.1909502139417278,1.4047282004265156,-1.8450454995859096,-0.4054823040929831,-0.6604952621163519,0.27699329436248366,-0.5858474599240537,-0.03654704108468711,0.2971925139715597,0.4384615384615386,0
-0.11888158065037993,-0.007260377345085354,-0.37075346216284516,0.6864552676767953,-0.11324224097896325,1.1501597643913244,0.6967212347813722,0.3691991353055005,1.9419018924485902,-0.19892348869543217,0.49372310997586377,-0.006395965778525448,-0.4633315937274785,0.28137390046894717,0.11718138406895946,0.2740581612487964,0.062410440716361634,0.5503175585722077,-0.007930314765881782,-0.6669091935091124,-0.1293574271255683,-0.4678103767396095,-0.44717685823339265,0.34506793654297924,0.08961325386116459,-0.342598760892071,0.0,0.3305459220605233,-0.6310301741651638,0.39560439560439653,1
0.30702564034458174,-1.8989269727631493,-0.4006371763852971,0.19065541210812748,0.028920530287095642,0.44707039109956603,0.33570337850734877,-0.6582915246903692,-0.7940375291180732,1.2471419156511867,0.6787483331138334,-0.018235907087844276,0.421332538084942,0.3642123865844917,2.0548248696943205,0.5069040624701314,-0.22711526966994325,0.4249978356396116,0.39345663457574664,-0.20894002950575266,-0.6396025000084972,-0.10727314218612041,-1.5105745603771403,1.1219125824102814,-0.6604952621163519,0.3003438224667932,0.7095437789112046,0.6478192288162142,0.3763182096461094,-0.6490384615384625,0
-0.11098831321067189,-2.0920246389253268,1.4034634820489373,0.6386204165219925,-0.10222713502456747,5.110294896323506,0.45150155882165827,-1.4913980974140164,2.9923283628161323,-3.8020582134004246,0.18263242640230262,861.7774834185718,2.7710927209920686,0.5188449489236587,0.7545796664583968,2.900844191881361,0.46236789327624894,0.4527615516521845,-0.443255231025199,0.0,1.9749795234486234,0.8465306511026177,0.004208471617129849,3.0607061621284206,-0.10827199723984014,2.363838639388344,1.8385998255671216,2.1328988520671643,-1.1667767822593955,-1.6888111888111905,1
-0.5518584832604155,-0.19486023397705293,-0.49241863201302327,0.10846061481150603,-0.5916418837404241,-0.6825351740159752,0.6251988292931223,-0.4016231216575819,-0.41186993042013487,-0.1177275759036408,1.2460225741213378,-0.019225871119480195,-0.6895300579040232,0.6453751481469395,0.4945360009982931,-0.24634712067688108,1.2174869680391684,-0.1804287692169137,-0.25123852836534283,-0.6669091935091124,-1.1163238047981405,1.6269935895620973,-0.16956391793633388,-0.6826736490416359,-0.06094204267163399,0.27699329436248366,-0.8479742763150685,-0.20927192385397406,0.1999807072520832,-1.0069930069930082,0
0.2789492573106007,-2.350099673426621,0.014035494675346172,-0.1463211150398379,0.11410859674659489,0.6345764169414491,0.39805624483043855,0.21451678091480805,-0.3676294284131694,1.84931445846637,-0.03511207654337764,-0.018224999909042475,0.4006063768980344,0.5869663608742767,0.2586446921561802,-0.1916336411938739,1.1169186783875473,-0.7888177720405206,0.9275732698105742,-0.4474012023598932,-0.4010481275425768,1.2667168016765888,4.425384526959991,0.5920240167608429,-0.4283820298737404,-0.31924823278776154,1.153257653471261,-0.1694540779394765,-0.18142323632667798,1.2259615384615392,0
-0.38260380988805165,0.5673849231384777,-0.9176610224861411,-0.2985562803062376,0.8500521637335391,-1.042195926360706,-0.015309855570401425,-1.7978657764313268,0.46536371982912295,-1.0661537986390204,0.37953425044966854,60699.48438962522,-3.9769377966649144,-1.0884149179097427,-4.827654339516192,-1.4105766267835569,-1.7423902668064934,-0.00581680833078422,-1.1596714529019443,0.09728405022354548,3.0191850842342447,0.13255798082227346,-0.11257182713744902,-0.6826736490416359,0.06901073456917613,-0.918161012431582,-0.8479742763150685,1.213474648602512,-0.7468140159568546,-1.4238026124818595,0
